event_date,user_pseudo_id,country,sub_continent,metro,category,mobile_brand_name,operating_system_version,medium,source,TUTORIAL_STEP_TUTDRAGCUE,TUTORIAL_STEP_SHOW_FORCE_CUE,TUTORIAL_STEP_FORCE_CUE,TUTORIAL_STEP_TUTPOTTEDBALL,TUTORIAL_STEP_DONESCENETUT,TUTORIAL_STEP_JOINFIRSTGAME,TUTORIAL_STEP_GAME_TEACHBOOSTAIM,TUTORIAL_STEP_BREAKING,TUTORIAL_STEP_GAME_TEACHTARGETBALL,TUTORIAL_STEP_WINFIRSTGAME,TUTORIAL_STEP_TUTBOX,TUTORIAL_STEP_DONE,UserChurned
2023-07-09,223adce40ace470024e329fd0f0b10b8,'Pakistan','Southern Asia','(not set)','mobile',Other,'Android 10','cpc','google',0.0,0.0,23.037130869925,0.962479538284242,2.35840630345047,0.0,0.0,0.0,50.0400735549629,0.0,0.0,0.0,True
2023-07-12,331c1029e34e40b7a5ab83eabee0c745,Other,'Southeast Asia','(not set)','mobile','Realme','Android 11','organic','google-play',44.9221400008537,18.2789836125448,0.0,0.9099360704422,1.69021600950509,0.0,0.0,4.55167745705694,0.0,314.694872781634,0.0,0.0,True
2023-07-11,2372bde8d2251423b6e7b34d54d024a7,'Philippines','Southeast Asia','(not set)','mobile','Samsung','Android 11','organic','google-play',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2023-07-14,6f184e3a58697ddad7de1bba08c1fedd,Other,Other,'(not set)','mobile','Tecno','Android 11','(none)','(direct)',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2023-07-10,ae80fb21e299fb95068cef25c9bc0c05,Other,'South America','(not set)','mobile','Samsung','Android 12','organic','google-play',55.7588645219803,19.9077170109376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2023-07-21,707790f98de265ff7f39fbf63d28b321,Other,'South America','(not set)','mobile','Samsung','Android 13','(none)','(direct)',16.6245467644185,0.0,21.7222892064601,0.963780651800334,2.96957513876259,0.0,0.0,0.0,0.0,228.727809046861,0.0,0.0,False
2023-07-30,ad5b6246be84677f3ff3e1562851037f,Other,Other,'(not set)','mobile','Realme','Android 9','(none)','(direct)',17.9470856348053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2023-07-23,f1fce88b80b161b1662f6aaa5b9e10b1,'Pakistan','Southern Asia','(not set)','mobile','Vivo','Android 13','organic','google-play',0.0,13.0766259366646,0.0,0.968523188028485,1.9582657366991,0.0,0.0,0.0,27.982734201476,0.0,0.0,0.0,True
2023-07-22,f0e1acbcbb17687ea7f0068e7e9bca39,'Pakistan','Southern Asia','(not set)','mobile','Vivo','Android 11','organic','google-play',0.0,36.7791450591758,0.0,0.0,0.0,13.2002012506127,0.0,4.43350207619369,0.0,0.0,15.2433731937781,1.98586399666965,False
2023-07-09,1cbcc472cab9fed76c4007fe4c270d5e,'Indonesia','Southeast Asia','(not set)','mobile','Xiaomi','Android 10','(none)','(direct)',15.2974981013685,13.8816509898752,0.0,0.968916844576597,1.96782516688108,0.0,0.0,0.0,22.3640498472378,276.025477756746,0.0,0.0,False
